id,short_name,name,start_date,end_date,city,country
2008-AWGLCA-1,AWGLCA 1,First session of the Ad Hoc Working Group on Long- term Cooperative Action under the Convention (AWGLCA 1) and Fifth session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol to the UNFCCC (AWG 5),2008-03-31,2008-04-04,Bangkok,Thailand
2008-IPCC-28,IPCC-28,IPCC- 28,2008-04-09,2008-04-10,Budapest,Hungary
2008-SB-28,SB 28,"Twenty- eighth Sessions of the UNFCCC Subsidiary Bodies, Second Session of the Ad Hoc Working Group Under the Convention, and fifth Session of the Ad Hoc Working Group Under the Kyoto Protocol",2008-06-02,2008-06-13,Bonn,Germany
2008-UNFCCC-WS-DFD-DC,UNFCCC WS DFD DC,UNFCCC Workshop on Methodological Issues Relating to Reducing Emissions from Deforestation and Forest Degradation in Developing Countries,2008-06-25,2008-06-27,Tokyo,Japan
2008-AWGLCA-2,AWGLCA 2,Third session of the Ad Hoc Working Group on Long- term Cooperative Action and first part of the sixth session of the Ad Hoc Working Group on Further Commitments for Annex 1 Parties under the Kyoto Protocol to the UNFCCC,2008-08-21,2008-08-27,Accra,Ghana
2008-IPCC-29,IPCC-29,IPCC- 29 and Twentieth Anniversary of the IPCC,2008-08-31,2008-09-04,Geneva,Switzerland
2008-COP-14-CMP-4,COP 14 - CMP 4,UN Climate Change Conference - Poznań,2008-12-01,2008-12-12,Poznań,Poland
2009-UNFCCC-WS-DRR,UNFCCC WS DRR,"Workshop on Integrating Practices, Tools and Systems for Climate Risk Assessment and Management and Disaster Risk Reduction Strategies into National Policies and Programmes",2009-03-10,2009-03-12,Havana,Cuba
2009-AWGLCA-5,AWGLCA 5,Fifth session of the Ad Hoc Working Group on Long- term Cooperative Action under the UN Framework Convention on Climate Change (AWG- LCA 5) and Seventh session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG- KP 7),2009-03-29,2009-04-08,Bonn,Germany
2009-IPCC-30,IPCC-30,Thirtieth Session of the IPCC,2009-04-21,2009-04-23,Antalya,Turkey
2009-UNFCCC-WS-ECORES,UNFCCC WS ECORES,UN Framework Convention on Climate Change Technical Workshop on Increasing Economic Resilience to Climate Change and Reducing Reliance on Vulnerable Economic Sectors through Economic Diversification,2009-04-28,2009-04-30,Cairo,Egypt
2009-SB-30,SB 30,Bonn Climate Change Talks - June 2009,2009-06-01,2009-06-12,Bonn,Germany
2009-AWGs-CCWG1,AWGs CCWG1,Bonn Climate Change Talks - August 2009,2009-08-10,2009-08-14,Bonn,Germany
2009-AWGs-CCWG7,AWGs CCWG7,Bangkok Climate Change Talks - 2009,2009-09-28,2009-10-09,UNCC,Bangkok
2009-UNFCCC-WS-AP,UNFCCC WS AP,UNFCCC Technical Workshop on Advancing the Integration of Approaches to Adaptation Planning,2009-10-12,2009-10-14,UNCC,Bangkok
2009-IPCC-31,IPCC-31,Thirty- First Session of the IPCC,2009-10-26,2009-10-29,Bali,Indonesia
2009-AWGs-RCCWG7,AWGs RCCWG7,Barcelona Climate Change Talks 2009,2009-11-02,2009-11-06,Barcelona,Spain
2009-COP-15-CMP-5,COP 15 - CMP 5,Copenhagen Climate Change Conference,2009-12-07,2009-12-19,Copenhagen,Denmark
