id,event_id,issue,date,pdf,html
enb12519e,2011-AWGs-CCWG16,519,2011-10-06,http://www.iisd.ca/download/pdf/enb12519e.pdf,http://www.iisd.ca/vol12/enb12519e.html
enb12520e,2011-AWGs-CCWG16,520,2011-10-07,http://www.iisd.ca/download/pdf/enb12520e.pdf,http://www.iisd.ca/vol12/enb12520e.html
enb12521e,2011-AWGs-CCWG16,521,2011-10-07,http://www.iisd.ca/download/pdf/enb12521e.pdf,http://www.iisd.ca/vol12/enb12521e.html
enb12522e,2011-IPCC-34,522,2011-11-19,http://www.iisd.ca/download/pdf/enb12522e.pdf,http://www.iisd.ca/vol12/enb12522e.html
enb12523e,2011-COP-17-CMP7,523,2011-11-28,http://www.iisd.ca/download/pdf/enb12523e.pdf,http://www.iisd.ca/vol12/enb12523e.html
enb12524e,2011-COP-17-CMP7,524,2011-11-29,http://www.iisd.ca/download/pdf/enb12524e.pdf,http://www.iisd.ca/vol12/enb12524e.html
enb12525e,2011-COP-17-CMP7,525,2011-11-30,http://www.iisd.ca/download/pdf/enb12525e.pdf,http://www.iisd.ca/vol12/enb12525e.html
enb12526e,2011-COP-17-CMP7,526,2011-12-01,http://www.iisd.ca/download/pdf/enb12526e.pdf,http://www.iisd.ca/vol12/enb12526e.html
enb12527e,2011-COP-17-CMP7,527,2011-12-02,http://www.iisd.ca/download/pdf/enb12527e.pdf,http://www.iisd.ca/vol12/enb12527e.html
enb12528e,2011-COP-17-CMP7,528,2011-12-03,http://www.iisd.ca/download/pdf/enb12528e.pdf,http://www.iisd.ca/vol12/enb12528e.html
enb12529e,2011-COP-17-CMP7,529,2011-12-05,http://www.iisd.ca/download/pdf/enb12529e.pdf,http://www.iisd.ca/vol12/enb12529e.html
enb12530e,2011-COP-17-CMP7,530,2011-12-06,http://www.iisd.ca/download/pdf/enb12530e.pdf,http://www.iisd.ca/vol12/enb12530e.html
enb12531e,2011-COP-17-CMP7,531,2011-12-07,http://www.iisd.ca/download/pdf/enb12531e.pdf,http://www.iisd.ca/vol12/enb12531e.html
enb12532e,2011-COP-17-CMP7,532,2011-12-08,http://www.iisd.ca/download/pdf/enb12532e.pdf,http://www.iisd.ca/vol12/enb12532e.html
enb12533e,2011-COP-17-CMP7,533,2011-12-09,http://www.iisd.ca/download/pdf/enb12533e.pdf,http://www.iisd.ca/vol12/enb12533e.html
enb12534e,2011-COP-17-CMP7,534,2011-12-09,http://www.iisd.ca/download/pdf/enb12534e.pdf,http://www.iisd.ca/vol12/enb12534e.html
enb12535e,2012-SB-36,535,2012-05-14,http://www.iisd.ca/download/pdf/enb12535e.pdf,http://www.iisd.ca/vol12/enb12535e.html
enb12536e,2012-SB-36,536,2012-05-15,http://www.iisd.ca/download/pdf/enb12536e.pdf,http://www.iisd.ca/vol12/enb12536e.html
enb12537e,2012-SB-36,537,2012-05-16,http://www.iisd.ca/download/pdf/enb12537e.pdf,http://www.iisd.ca/vol12/enb12537e.html
enb12538e,2012-SB-36,538,2012-05-17,http://www.iisd.ca/download/pdf/enb12538e.pdf,http://www.iisd.ca/vol12/enb12538e.html
enb12539e,2012-SB-36,539,2012-05-18,http://www.iisd.ca/download/pdf/enb12539e.pdf,http://www.iisd.ca/vol12/enb12539e.html
enb12540e,2012-SB-36,540,2012-05-19,http://www.iisd.ca/download/pdf/enb12540e.pdf,http://www.iisd.ca/vol12/enb12540e.html
enb12541e,2012-SB-36,541,2012-05-21,http://www.iisd.ca/download/pdf/enb12541e.pdf,http://www.iisd.ca/vol12/enb12541e.html
enb12542e,2012-SB-36,542,2012-05-22,http://www.iisd.ca/download/pdf/enb12542e.pdf,http://www.iisd.ca/vol12/enb12542e.html
enb12543e,2012-SB-36,543,2012-05-23,http://www.iisd.ca/download/pdf/enb12543e.pdf,http://www.iisd.ca/vol12/enb12543e.html
enb12544e,2012-SB-36,544,2012-05-24,http://www.iisd.ca/download/pdf/enb12544e.pdf,http://www.iisd.ca/vol12/enb12544e.html
enb12545e,2012-SB-36,545,2012-05-25,http://www.iisd.ca/download/pdf/enb12545e.pdf,http://www.iisd.ca/vol12/enb12545e.html
enb12546e,2012-SB-36,546,2012-05-25,http://www.iisd.ca/download/pdf/enb12546e.pdf,http://www.iisd.ca/vol12/enb12546e.html
enb12547e,2012-IPCC-35,547,2012-06-09,http://www.iisd.ca/download/pdf/enb12547e.pdf,http://www.iisd.ca/vol12/enb12547e.html
enb12548e,2012-AWGs-CCWG17i,548,2012-08-30,http://www.iisd.ca/download/pdf/enb12548e.pdf,http://www.iisd.ca/vol12/enb12548e.html
enb12549e,2012-AWGs-CCWG17i,549,2012-08-31,http://www.iisd.ca/download/pdf/enb12549e.pdf,http://www.iisd.ca/vol12/enb12549e.html
enb12550e,2012-AWGs-CCWG17i,550,2012-09-01,http://www.iisd.ca/download/pdf/enb12550e.pdf,http://www.iisd.ca/vol12/enb12550e.html
enb12551e,2012-AWGs-CCWG17i,551,2012-09-02,http://www.iisd.ca/download/pdf/enb12551e.pdf,http://www.iisd.ca/vol12/enb12551e.html
enb12552e,2012-AWGs-CCWG17i,552,2012-09-03,http://www.iisd.ca/download/pdf/enb12552e.pdf,http://www.iisd.ca/vol12/enb12552e.html
enb12553e,2012-AWGs-CCWG17i,553,2012-09-04,http://www.iisd.ca/download/pdf/enb12553e.pdf,http://www.iisd.ca/vol12/enb12553e.html
enb12554e,2012-AWGs-CCWG17i,554,2012-09-05,http://www.iisd.ca/download/pdf/enb12554e.pdf,http://www.iisd.ca/vol12/enb12554e.html
enb12555e,2012-AWGs-CCWG17i,555,2012-09-05,http://www.iisd.ca/download/pdf/enb12555e.pdf,http://www.iisd.ca/vol12/enb12555e.html
enb12556e,2012-COP-18-CMP8,556,2012-11-26,http://www.iisd.ca/download/pdf/enb12556e.pdf,http://www.iisd.ca/vol12/enb12556e.html
enb12557e,2012-COP-18-CMP8,557,2012-11-27,http://www.iisd.ca/download/pdf/enb12557e.pdf,http://www.iisd.ca/vol12/enb12557e.html
enb12558e,2012-COP-18-CMP8,558,2012-11-28,http://www.iisd.ca/download/pdf/enb12558e.pdf,http://www.iisd.ca/vol12/enb12558e.html
enb12559e,2012-COP-18-CMP8,559,2012-11-29,http://www.iisd.ca/download/pdf/enb12559e.pdf,http://www.iisd.ca/vol12/enb12559e.html
enb12560e,2012-COP-18-CMP8,560,2012-11-30,http://www.iisd.ca/download/pdf/enb12560e.pdf,http://www.iisd.ca/vol12/enb12560e.html
enb12561e,2012-COP-18-CMP8,561,2012-12-01,http://www.iisd.ca/download/pdf/enb12561e.pdf,http://www.iisd.ca/vol12/enb12561e.html
enb12562e,2012-COP-18-CMP8,562,2012-12-03,http://www.iisd.ca/download/pdf/enb12562e.pdf,http://www.iisd.ca/vol12/enb12562e.html
enb12563e,2012-COP-18-CMP8,563,2012-12-04,http://www.iisd.ca/download/pdf/enb12563e.pdf,http://www.iisd.ca/vol12/enb12563e.html
enb12564e,2012-COP-18-CMP8,564,2012-12-05,http://www.iisd.ca/download/pdf/enb12564e.pdf,http://www.iisd.ca/vol12/enb12564e.html
enb12565e,2012-COP-18-CMP8,565,2012-12-06,http://www.iisd.ca/download/pdf/enb12565e.pdf,http://www.iisd.ca/vol12/enb12565e.html
enb12566e,2012-COP-18-CMP8,566,2012-12-07,http://www.iisd.ca/download/pdf/enb12566e.pdf,http://www.iisd.ca/vol12/enb12566e.html
enb12567e,2012-COP-18-CMP8,567,2012-12-08,http://www.iisd.ca/download/pdf/enb12567e.pdf,http://www.iisd.ca/vol12/enb12567e.html
enb12568e,2012-ADP-2,568,2013-05-03,http://www.iisd.ca/download/pdf/enb12568e.pdf,http://www.iisd.ca/vol12/enb12568e.html
